id,name,link,coauthor_count,degrees
57647992400,David J. de George,https://www.scopus.com/authid/detail.uri?authorId=57647992400,16,2
57643557500,Louis Boon,https://www.scopus.com/authid/detail.uri?authorId=57643557500,16,2
57193920377,Ian M. Smyth,https://www.scopus.com/authid/detail.uri?authorId=57193920377,50,2
57646516100,Jonathan Chee,https://www.scopus.com/authid/detail.uri?authorId=57646516100,16,2
7004641196,Thomas Kay,https://www.scopus.com/authid/detail.uri?authorId=7004641196,840,2
7403742053,Helen E. Thomas,https://www.scopus.com/authid/detail.uri?authorId=7403742053,519,2
57857418300,Jessica Boulter,https://www.scopus.com/authid/detail.uri?authorId=57857418300,3,2
57780434900,Mariana Lizeth Orozco Morales,https://www.scopus.com/authid/detail.uri?authorId=57780434900,24,2
57219660442,Joel Kidman,https://www.scopus.com/authid/detail.uri?authorId=57219660442,24,2
57218670531,Siting Goh,https://www.scopus.com/authid/detail.uri?authorId=57218670531,182,2
54380009300,Vanessa S. Fear,https://www.scopus.com/authid/detail.uri?authorId=54380009300,113,2
7103200075,Catherine A. Forbes,https://www.scopus.com/authid/detail.uri?authorId=7103200075,133,2
57210203923,Rachael M. Zemek,https://www.scopus.com/authid/detail.uri?authorId=57210203923,62,2
8050305000,Abha Chopra,https://www.scopus.com/authid/detail.uri?authorId=8050305000,367,2
56277139400,Mark W. Watson,https://www.scopus.com/authid/detail.uri?authorId=56277139400,176,2
7402085535,Robert A. Holt,https://www.scopus.com/authid/detail.uri?authorId=7402085535,5895,2
6505696106,Timo Lassmann,https://www.scopus.com/authid/detail.uri?authorId=6505696106,1674,2
57189978279,Chelsea Wilson,https://www.scopus.com/authid/detail.uri?authorId=57189978279,9,2
57205473253,Anthony C. Buzzai,https://www.scopus.com/authid/detail.uri?authorId=57205473253,50,2
55757112000,Ben C. Wylie,https://www.scopus.com/authid/detail.uri?authorId=55757112000,76,2
57209246675,Mitchell Booth,https://www.scopus.com/authid/detail.uri?authorId=57209246675,11,2
23984680900,Bree A. Foley,https://www.scopus.com/authid/detail.uri?authorId=23984680900,111,2
23097005300,Mark N. Cruickshank,https://www.scopus.com/authid/detail.uri?authorId=23097005300,199,2
6603204567,Jason C. Waithman,https://www.scopus.com/authid/detail.uri?authorId=6603204567,207,2
57209335346,Amber Louw,https://www.scopus.com/authid/detail.uri?authorId=57209335346,29,2
56419965900,Vasiliki Panou,https://www.scopus.com/authid/detail.uri?authorId=56419965900,70,2
56288209000,Weronika Maria Szejniuk,https://www.scopus.com/authid/detail.uri?authorId=56288209000,37,2
35604077300,Christos Meristoudis,https://www.scopus.com/authid/detail.uri?authorId=35604077300,83,2
51763281400,Siaw Ming Chai,https://www.scopus.com/authid/detail.uri?authorId=51763281400,125,2
55933597100,Chris van Vliet,https://www.scopus.com/authid/detail.uri?authorId=55933597100,107,2
55716164000,Y. C. Gary Lee,https://www.scopus.com/authid/detail.uri?authorId=55716164000,678,2
57704653100,Tina Firth,https://www.scopus.com/authid/detail.uri?authorId=57704653100,14,2
57704421100,Louise Andersen Lynggaard,https://www.scopus.com/authid/detail.uri?authorId=57704421100,14,2
57703728400,Azadeh Birbaneh Asghari,https://www.scopus.com/authid/detail.uri?authorId=57703728400,14,2
