id,name,link,coauthor_count,degrees
8664576500,Pilar Blancafort,https://www.scopus.com/authid/detail.uri?authorId=8664576500,214,2
16052630100,Gaurang Jhala,https://www.scopus.com/authid/detail.uri?authorId=16052630100,86,2
55801673300,Claudia Selck,https://www.scopus.com/authid/detail.uri?authorId=55801673300,46,2
57221688339,Chun Ting J. Kwong,https://www.scopus.com/authid/detail.uri?authorId=57221688339,17,2
56652007100,Evan G. Pappas,https://www.scopus.com/authid/detail.uri?authorId=56652007100,81,2
7403742053,Helen E. Thomas,https://www.scopus.com/authid/detail.uri?authorId=7403742053,519,2
7004641196,Thomas Kay,https://www.scopus.com/authid/detail.uri?authorId=7004641196,840,2
15127399300,Balasubramanian Krishnamurthy,https://www.scopus.com/authid/detail.uri?authorId=15127399300,209,2
54380009300,Vanessa S. Fear,https://www.scopus.com/authid/detail.uri?authorId=54380009300,113,2
7103200075,Catherine A. Forbes,https://www.scopus.com/authid/detail.uri?authorId=7103200075,133,2
55305535500,Prerak M. Trivedi,https://www.scopus.com/authid/detail.uri?authorId=55305535500,87,2
35077143000,Stacey L. Fynch,https://www.scopus.com/authid/detail.uri?authorId=35077143000,123,2
57203900774,Lucy M. Kennedy,https://www.scopus.com/authid/detail.uri?authorId=57203900774,17,2
7004405281,Lorraine A. O'Reilly,https://www.scopus.com/authid/detail.uri?authorId=7004405281,633,2
7102640217,Andreas Strasser,https://www.scopus.com/authid/detail.uri?authorId=7102640217,1647,2
10141200500,Esteban N. Gurzov,https://www.scopus.com/authid/detail.uri?authorId=10141200500,247,2
35080285800,Kate L. Graham,https://www.scopus.com/authid/detail.uri?authorId=35080285800,106,2
56010066500,Hyun-ja Ko,https://www.scopus.com/authid/detail.uri?authorId=56010066500,108,2
7402351612,Robyn M. Sutherland,https://www.scopus.com/authid/detail.uri?authorId=7402351612,175,2
7102620102,Yifan Zhan,https://www.scopus.com/authid/detail.uri?authorId=7102620102,273,2
26643380000,Andrew M. Lew,https://www.scopus.com/authid/detail.uri?authorId=26643380000,759,2
35430984400,Ranjeny Thomas,https://www.scopus.com/authid/detail.uri?authorId=35430984400,1139,2
6603908430,Stuart I. Mannering,https://www.scopus.com/authid/detail.uri?authorId=6603908430,294,2
57225061026,Yuxing Zhao,https://www.scopus.com/authid/detail.uri?authorId=57225061026,34,2
7102805685,Carol G. Au,https://www.scopus.com/authid/detail.uri?authorId=7102805685,53,2
7005029829,Megan C. Sherwood,https://www.scopus.com/authid/detail.uri?authorId=7005029829,140,2
8505209800,Jonathan R. Egan,https://www.scopus.com/authid/detail.uri?authorId=8505209800,180,2
7006800614,Kathryn N. North,https://www.scopus.com/authid/detail.uri?authorId=7006800614,2226,2
6603884205,David S. Winlaw,https://www.scopus.com/authid/detail.uri?authorId=6603884205,764,2
26658422800,Fabian G. Graf,https://www.scopus.com/authid/detail.uri?authorId=26658422800,6,2
25959254500,Aisling Clare McMahon,https://www.scopus.com/authid/detail.uri?authorId=25959254500,197,2
7403304886,Sandra T. Cooper,https://www.scopus.com/authid/detail.uri?authorId=7403304886,971,2
7202085501,Harriet P. Lo,https://www.scopus.com/authid/detail.uri?authorId=7202085501,180,2
7006304299,Alison G. Compton,https://www.scopus.com/authid/detail.uri?authorId=7006304299,570,2
7404472925,Baoxue Yang,https://www.scopus.com/authid/detail.uri?authorId=7404472925,547,2
14058877200,Yeemun Tan,https://www.scopus.com/authid/detail.uri?authorId=14058877200,15,2
35512397100,Edna C. Hardeman,https://www.scopus.com/authid/detail.uri?authorId=35512397100,581,2
35450635600,Alan S. Verkman,https://www.scopus.com/authid/detail.uri?authorId=35450635600,797,2
24172952100,Edward Angus Mc Kay Duckworth,https://www.scopus.com/authid/detail.uri?authorId=24172952100,7,2
9839314400,Lisa A. Collier,https://www.scopus.com/authid/detail.uri?authorId=9839314400,75,2
8624856500,Shane N. Collier,https://www.scopus.com/authid/detail.uri?authorId=8624856500,5,2
7003271881,Keith R. Pennypacker,https://www.scopus.com/authid/detail.uri?authorId=7003271881,210,2
8130052000,Dirson D. de Mesquita,https://www.scopus.com/authid/detail.uri?authorId=8130052000,16,2
57192411358,Martina Vendrame,https://www.scopus.com/authid/detail.uri?authorId=57192411358,39,2
7103404371,Jordan Cassady,https://www.scopus.com/authid/detail.uri?authorId=7103404371,8,2
9737216300,Jennifer D. Newcomb,https://www.scopus.com/authid/detail.uri?authorId=9737216300,35,2
7003453359,Tatiana Žigová,https://www.scopus.com/authid/detail.uri?authorId=7003453359,98,2
6507233782,Cyndy Davis Sanberg,https://www.scopus.com/authid/detail.uri?authorId=6507233782,165,2
36046821700,Paul R. Sanberg,https://www.scopus.com/authid/detail.uri?authorId=36046821700,836,2
7005458824,Alison Elizabeth Willing,https://www.scopus.com/authid/detail.uri?authorId=7005458824,249,2
57214644795,Cheryl A. Kassed,https://www.scopus.com/authid/detail.uri?authorId=57214644795,16,2
57210001642,G. W. Patton,https://www.scopus.com/authid/detail.uri?authorId=57210001642,7,2
57210000920,D. D. Demesquita,https://www.scopus.com/authid/detail.uri?authorId=57210000920,7,2
6507845366,Matthew T. Navidomskis,https://www.scopus.com/authid/detail.uri?authorId=6507845366,13,2
6701407305,Sylvie Mémet,https://www.scopus.com/authid/detail.uri?authorId=6701407305,239,2
56087774100,Alain Israël,https://www.scopus.com/authid/detail.uri?authorId=56087774100,542,2
7402800306,Marcia N. Gordon,https://www.scopus.com/authid/detail.uri?authorId=7402800306,302,2
8431831400,Dave G. Morgan,https://www.scopus.com/authid/detail.uri?authorId=8431831400,635,2
7102087724,Peter H. Kay,https://www.scopus.com/authid/detail.uri?authorId=7102087724,109,2
7101913325,Phillip F. Jacobsen,https://www.scopus.com/authid/detail.uri?authorId=7101913325,66,2
6601966196,Peter J. Mirtschin,https://www.scopus.com/authid/detail.uri?authorId=6601966196,122,2
35351518800,Byron Arthur Kakulas,https://www.scopus.com/authid/detail.uri?authorId=35351518800,406,2
7006523278,Paul Gerard McMenamin,https://www.scopus.com/authid/detail.uri?authorId=7006523278,228,2
7202699318,Jesse D. Armitage,https://www.scopus.com/authid/detail.uri?authorId=7202699318,44,2
57216438127,Hannah V. Newnes,https://www.scopus.com/authid/detail.uri?authorId=57216438127,19,2
7006356547,Anthony Bosco,https://www.scopus.com/authid/detail.uri?authorId=7006356547,337,2
6603204567,Jason C. Waithman,https://www.scopus.com/authid/detail.uri?authorId=6603204567,207,2
57216432075,Katherine M. Audsley,https://www.scopus.com/authid/detail.uri?authorId=57216432075,25,2
57063878900,Andrew J. Currie,https://www.scopus.com/authid/detail.uri?authorId=57063878900,242,2
57197409273,Matthew D. Brown,https://www.scopus.com/authid/detail.uri?authorId=57197409273,23,2
36143053500,Kasia Kania,https://www.scopus.com/authid/detail.uri?authorId=36143053500,7,2
55757112000,Ben C. Wylie,https://www.scopus.com/authid/detail.uri?authorId=55757112000,76,2
35172567100,Amanda L. Cleaver,https://www.scopus.com/authid/detail.uri?authorId=35172567100,51,2
23976706500,Amy C. Prosser,https://www.scopus.com/authid/detail.uri?authorId=23976706500,96,2
6602617893,Ivonne van Bruggen,https://www.scopus.com/authid/detail.uri?authorId=6602617893,47,2
7202722149,Gordon James Freeman,https://www.scopus.com/authid/detail.uri?authorId=7202722149,2679,2
6701702352,Robbert G. van der Most,https://www.scopus.com/authid/detail.uri?authorId=6701702352,574,2
