publication_eid,author_id
31876,7101785826
31876,36907568700
36202,6602592991
36202,6701379356
36202,6701541182
36202,57206035102
390913,7005012355
390913,15120437200
390913,57206035102
390913,57208460892
426372,7005468422
426372,7101785826
517848,7102608769
517848,57206035102
517848,57208460892
536453,8129238400
536453,57206035102
697514,6602586162
697514,7003687228
697514,7004383326
697514,7801554448
802319,7401894891
802319,8129238400
802319,15120437200
802319,57206035102
862858,57206035102
969384,7006301712
969384,7006414182
969384,7006590904
969384,7101979994
969384,7102532442
969384,7410288855
969384,19436055900
969384,56243320800
969384,57212330571
969384,57213019497
1123629,6506743316
1123629,7005076487
1123629,8129238400
1123629,57206035102
1160210,7102608769
1160210,57206035102
1160210,57208460892
1365806,57206035102
1413641,7005412627
1413641,7202139148
1486742,6603131745
1486742,57206035102
1529692,16500004900
1529692,16500034700
1529692,57206035102
1529692,57208460892
1780721,7101785826
1780721,7102452418
1780721,56066317400
1848936,7007086489
1848936,7101785826
1848936,16406310800
1848936,55459929100
1982247,7101692484
1982247,7404186412
1982247,57206035102
1982247,57210682583
2014341,6603213492
2014341,7101785826
2014341,36907568700
2141979,7006482374
2141979,7101785826
2188758,6602586162
2188758,7003687228
2188758,7801554448
2430562,6506466752
2430562,6602338308
2430562,7006603465
2430562,16160696700
2430562,19435453100
2430562,56224626000
2430562,56630810200
2437013,6603787778
2437013,7003613235
2437013,7102841367
2437013,7401456314
2437013,18040345500
2437013,57212272233
2921672,7005545262
2921672,7101785826
2921672,36907568700
2994158,6601993695
2994158,7101785826
2994158,36907568700
2994158,55873372900
4241718,7101785826
4241718,36907568700
4578483,7006525821
4578483,7202356471
4578483,7202917258
4578483,57221408887
4607432,7005012355
4607432,57206035102
4607432,57208460892
5864166,24445901000
5864166,57206035102
5864166,57208460892
6246963,24567724200
6246963,57206035102
6246963,57208460892
6908245,24535649100
6908245,24565535900
6908245,57206035102
6993914,7003622775
6993914,55733665500
6993914,57206035102
7210430,6508097948
7210430,7006157156
7210430,7801554448
7658639,7004953758
7658639,7102871428
7658639,7202436291
8500220,7003590411
8500220,7101785826
8500220,36907568700
9588182,7101785826
9815777,7005012355
9815777,7407259854
9815777,57206035102
9815777,57208460892
10138688,7005468422
10138688,7101785826
10138688,55862417200
10138688,56431668700
10198034,6701696486
10198034,7004096954
10198034,7004346762
10198034,7004807380
10198034,7006384126
10198034,7101659521
10198034,7102838604
10198034,7401719104
10198034,24079750400
10198034,57195669821
10242326,7404186412
10242326,15619624700
10242326,57206035102
10268863,24560479700
10268863,35948118800
10268863,57206035102
10271938,7101692484
10271938,7404186412
10271938,7407259854
10271938,57206035102
10271938,57208460892
10440688,6505506186
10440688,6506698228
10440688,8129238400
10440688,57206035102
10873989,7101785826
10873989,7102452418
10873989,35567787600
11316122,24535649100
11316122,55242675300
11316122,57197619280
11316122,57206035102
11316122,57208460892
12178863,7006491074
12178863,57206035102
12771503,6602289598
12771503,7004909808
12771503,57206035102
12792776,7005012355
12792776,57206035102
12792776,57208460892
13212385,7005012355
13212385,57206035102
13212385,57208460892
13653117,7101785826
13653117,16406310800
13653117,55459929100
13653117,57527651900
14251128,7006525821
14251128,35257167500
14461644,7006525821
14465566,7006525821
14465566,7102956815
14465566,7202167702
14557048,7006525821
14600963,7006179271
14600963,57177342400
14695082,7006179271
14695082,57177342400
14934891,6603857746
14934891,7005408607
14934891,7201601544
14980324,7006525821
15210775,7005504774
15210775,7202436291
15211195,7006179271
15211195,7101776901
15244340,7006179271
15244340,57177342400
15291805,7006179271
15291805,57177342400
15387010,7006179271
15387010,57189676032
15387010,57217689216
15400577,7005504774
15400577,7201493700
15400577,7202436291
15408126,7006179271
15408126,57177342400
15429093,7006179271
15429093,57177342400
15499776,7006179271
15499776,57177342400
15537157,6602331200
15537157,7005034685
15537157,7006352388
15631422,7005504774
15631422,7201493700
15631422,7202436291
15690598,6506222046
15690598,7101913325
15690598,35351518800
15729465,6602331200
15729465,7005034685
15729465,7006352388
15786218,7006179271
15786218,57177342400
15794905,7004950562
15794905,57213493604
15794905,57213539973
15832610,7006525821
15832610,57198000658
15864881,7006179271
15864881,55636322017
15864881,57177342400
15903229,7006179271
15903229,57177342400
15921593,7005504774
15921593,7202436291
15922022,7006179271
15922022,57177342400
15934541,7006179271
15934541,57177342400
15936549,7006179271
15936549,57177342400
15937036,7006179271
15937036,57177342400
15939195,7003729155
15939195,7101913325
15939195,35351518800
15952849,7005034685
15952849,7006352388
16060694,7101785826
16153346,7006525821
16165349,7004950562
16165349,7005252582
16165349,7006415432
16165349,24584623600
16165349,57204252089
16206086,7005504774
16206086,7202436291
16251470,7006525821
16251470,35375296200
16299540,7202078800
16299540,24535649100
16299540,24570777100
16299540,57206035102
16299540,57208460892
16299540,57210682583
16302910,7005311882
16302910,16060985700
16302910,57199283075
16302910,57203254320
16351855,7003423991
16351855,7202139148
16351855,7202314583
16377746,7005919321
16377746,7006525821
16377746,35375296200
16377746,57190144062
16422180,6504098432
16422180,7005305011
16422180,7007092676
16422180,55438391700
16571996,7101785826
16629153,7101785826
16629153,16406310800
16632248,7006525821
16632248,35375296200
16632248,57190144062
