id,name,link,degrees
55942938900,Nima Mesbah Ardakani,https://www.scopus.com/authid/detail.uri?authorId=55942938900,1
57189716341,Corrine Wallace,https://www.scopus.com/authid/detail.uri?authorId=57189716341,1
6507396557,Benhur Amanuel,https://www.scopus.com/authid/detail.uri?authorId=6507396557,1
23768345200,Daniel D. Wong,https://www.scopus.com/authid/detail.uri?authorId=23768345200,1
57212836629,Arash Badiei,https://www.scopus.com/authid/detail.uri?authorId=57212836629,1
57209345763,Ming S. Chai,https://www.scopus.com/authid/detail.uri?authorId=57209345763,1
57208166414,Mariana Lizeth Orozco Morales,https://www.scopus.com/authid/detail.uri?authorId=57208166414,1
56076560500,Nagi M. Marsit,https://www.scopus.com/authid/detail.uri?authorId=56076560500,1
55770423100,Owen Douglas McIntosh,https://www.scopus.com/authid/detail.uri?authorId=55770423100,1
7004576862,Andrew Hopkinson,https://www.scopus.com/authid/detail.uri?authorId=7004576862,1
55212826700,Laura Elizabeth Sidney,https://www.scopus.com/authid/detail.uri?authorId=55212826700,1
57221013971,Linda Ye,https://www.scopus.com/authid/detail.uri?authorId=57221013971,1
57714346600,Mihitha Ariyapperuma,https://www.scopus.com/authid/detail.uri?authorId=57714346600,1
57226378427,Angela Jacques,https://www.scopus.com/authid/detail.uri?authorId=57226378427,1
55905357200,Tarek M. Meniawy,https://www.scopus.com/authid/detail.uri?authorId=55905357200,1
7006949863,Michael J. Millward,https://www.scopus.com/authid/detail.uri?authorId=7006949863,1
6603217918,Alec J. Redwood,https://www.scopus.com/authid/detail.uri?authorId=6603217918,1
7402517928,Bruce W.S. Robinson,https://www.scopus.com/authid/detail.uri?authorId=7402517928,1
7404414304,Carla Thomas,https://www.scopus.com/authid/detail.uri?authorId=7404414304,1
6603559867,Katrina Spilsbury,https://www.scopus.com/authid/detail.uri?authorId=6603559867,1
25637357100,Connull Leslie,https://www.scopus.com/authid/detail.uri?authorId=25637357100,1
56906457200,Shaokang Ma,https://www.scopus.com/authid/detail.uri?authorId=56906457200,1
57195488227,Kiarash Behrouzfar,https://www.scopus.com/authid/detail.uri?authorId=57195488227,1
57193854832,Mohammad Alaee,https://www.scopus.com/authid/detail.uri?authorId=57193854832,1
16679869000,Mitra Nourbakhsh,https://www.scopus.com/authid/detail.uri?authorId=16679869000,1
