publication eid,author id
2-s2.0-0000031876,7101785826
2-s2.0-0000031876,36907568700
2-s2.0-0000426372,7005468422
2-s2.0-0000426372,7101785826
2-s2.0-0001780721,7101785826
2-s2.0-0001780721,7102452418
2-s2.0-0001780721,56066317400
2-s2.0-0001848936,7007086489
2-s2.0-0001848936,7101785826
2-s2.0-0001848936,16406310800
2-s2.0-0001848936,55459929100
2-s2.0-0002014341,6603213492
2-s2.0-0002014341,7101785826
2-s2.0-0002014341,36907568700
2-s2.0-0002141979,7006482374
2-s2.0-0002141979,7101785826
2-s2.0-0002437013,6603787778
2-s2.0-0002437013,7003613235
2-s2.0-0002437013,7102841367
2-s2.0-0002437013,7401456314
2-s2.0-0002437013,18040345500
2-s2.0-0002437013,57212272233
2-s2.0-0002921672,7005545262
2-s2.0-0002921672,7101785826
2-s2.0-0002921672,36907568700
2-s2.0-0002994158,6601993695
2-s2.0-0002994158,7101785826
2-s2.0-0002994158,36907568700
2-s2.0-0002994158,55873372900
2-s2.0-0004241718,7101785826
2-s2.0-0004241718,36907568700
2-s2.0-0007658639,7004953758
2-s2.0-0007658639,7102871428
2-s2.0-0007658639,7202436291
2-s2.0-0008500220,7003590411
2-s2.0-0008500220,7101785826
2-s2.0-0008500220,36907568700
2-s2.0-0009588182,7101785826
2-s2.0-0010138688,7005468422
2-s2.0-0010138688,7101785826
2-s2.0-0010138688,55862417200
2-s2.0-0010138688,56431668700
2-s2.0-0010873989,7101785826
2-s2.0-0010873989,7102452418
2-s2.0-0010873989,35567787600
2-s2.0-0013653117,7101785826
2-s2.0-0013653117,16406310800
2-s2.0-0013653117,55459929100
2-s2.0-0013653117,57527651900
2-s2.0-0014600963,7006179271
2-s2.0-0014600963,57177342400
2-s2.0-0014695082,7006179271
2-s2.0-0014695082,57177342400
2-s2.0-0014934891,6603857746
2-s2.0-0014934891,7005408607
2-s2.0-0014934891,7201601544
2-s2.0-0015210775,7005504774
2-s2.0-0015210775,7202436291
2-s2.0-0015211195,7006179271
2-s2.0-0015211195,7101776901
2-s2.0-0015244340,7006179271
2-s2.0-0015244340,57177342400
2-s2.0-0015291805,7006179271
2-s2.0-0015291805,57177342400
2-s2.0-0015387010,7006179271
2-s2.0-0015387010,57189676032
2-s2.0-0015387010,57217689216
2-s2.0-0015400577,7005504774
2-s2.0-0015400577,7201493700
2-s2.0-0015400577,7202436291
2-s2.0-0015408126,7006179271
2-s2.0-0015408126,57177342400
2-s2.0-0015429093,7006179271
2-s2.0-0015429093,57177342400
2-s2.0-0015499776,7006179271
2-s2.0-0015499776,57177342400
2-s2.0-0015537157,6602331200
2-s2.0-0015537157,7005034685
2-s2.0-0015537157,7006352388
2-s2.0-0015631422,7005504774
2-s2.0-0015631422,7201493700
2-s2.0-0015631422,7202436291
2-s2.0-0015690598,6506222046
2-s2.0-0015690598,7101913325
2-s2.0-0015690598,35351518800
2-s2.0-0015729465,6602331200
2-s2.0-0015729465,7005034685
2-s2.0-0015729465,7006352388
2-s2.0-0015786218,7006179271
2-s2.0-0015786218,57177342400
2-s2.0-0015794905,7004950562
2-s2.0-0015794905,57213493604
2-s2.0-0015794905,57213539973
2-s2.0-0015864881,7006179271
2-s2.0-0015864881,55636322017
2-s2.0-0015864881,57177342400
2-s2.0-0015903229,7006179271
2-s2.0-0015903229,57177342400
2-s2.0-0015921593,7005504774
2-s2.0-0015921593,7202436291
2-s2.0-0015922022,7006179271
2-s2.0-0015922022,57177342400
2-s2.0-0015934541,7006179271
2-s2.0-0015934541,57177342400
2-s2.0-0015936549,7006179271
2-s2.0-0015936549,57177342400
2-s2.0-0015937036,7006179271
2-s2.0-0015937036,57177342400
2-s2.0-0015939195,7003729155
2-s2.0-0015939195,7101913325
2-s2.0-0015939195,35351518800
2-s2.0-0015952849,7005034685
2-s2.0-0015952849,7006352388
2-s2.0-0016060694,7101785826
2-s2.0-0016165349,7004950562
2-s2.0-0016165349,7005252582
2-s2.0-0016165349,7006415432
2-s2.0-0016165349,24584623600
2-s2.0-0016165349,57204252089
2-s2.0-0016206086,7005504774
2-s2.0-0016206086,7202436291
2-s2.0-0016302910,7005311882
2-s2.0-0016302910,16060985700
2-s2.0-0016302910,57199283075
2-s2.0-0016302910,57203254320
2-s2.0-0016571996,7101785826
2-s2.0-0016629153,7101785826
2-s2.0-0016629153,16406310800
2-s2.0-0016702436,7004330215
2-s2.0-0016702436,7102276896
2-s2.0-0016728477,7004330215
2-s2.0-0016728477,7006811808
2-s2.0-0016728477,7102276896
2-s2.0-0016728477,57067794300
2-s2.0-0016739959,7006179271
2-s2.0-0016739959,57177342400
2-s2.0-0016758388,6506008843
2-s2.0-0016758388,7101785826
2-s2.0-0016758388,57203078481
2-s2.0-0016836657,7006179271
2-s2.0-0016836657,57177342400
2-s2.0-0016990842,7006380073
2-s2.0-0016990842,56456198600
2-s2.0-0017027509,6602135457
2-s2.0-0017027509,7004330215
2-s2.0-0017027509,7102276896
2-s2.0-0017058636,6701481612
2-s2.0-0017058636,7004330215
2-s2.0-0017058636,7005126680
2-s2.0-0017067698,7004950562
2-s2.0-0017067698,7005252582
2-s2.0-0017067698,7006415432
2-s2.0-0017067698,24584623600
2-s2.0-0017067698,57204252089
2-s2.0-0017074094,7006179271
2-s2.0-0017074094,57177342400
2-s2.0-0017100065,7005034685
2-s2.0-0017100065,7006352388
2-s2.0-0017133198,7101785826
2-s2.0-0017133198,16406310800
2-s2.0-0017177147,7005034685
2-s2.0-0017177147,7006352388
2-s2.0-0017205651,7006179271
2-s2.0-0017205651,57177342400
2-s2.0-0017221136,6602950613
2-s2.0-0017221136,7004484250
2-s2.0-0017221136,7006380073
2-s2.0-0017221136,7601458464
2-s2.0-0017221953,6603212941
2-s2.0-0017221953,7201633263
2-s2.0-0017221953,7202436291
2-s2.0-0017221953,7404498457
2-s2.0-0017222222,6602950613
2-s2.0-0017222222,6603268142
2-s2.0-0017222222,7004484250
2-s2.0-0017222222,7005265761
2-s2.0-0017222222,7006380073
2-s2.0-0017222222,7006880112
2-s2.0-0017229531,7005034685
2-s2.0-0017229531,7006352388
2-s2.0-0017229964,7003370482
2-s2.0-0017229964,7005504774
2-s2.0-0017229964,7202436291
2-s2.0-0017248009,7004226682
2-s2.0-0017248009,7004484250
2-s2.0-0017248009,7006380073
2-s2.0-0017248009,7006880112
2-s2.0-0017248009,57191007279
2-s2.0-0017262718,6508197946
2-s2.0-0017262718,7005504774
2-s2.0-0017262718,7202436291
2-s2.0-0017262718,57190898003
2-s2.0-0017310894,7004330215
2-s2.0-0017310894,7006811808
2-s2.0-0017486124,6701481612
2-s2.0-0017486124,7004330215
2-s2.0-0017486124,7005126680
2-s2.0-0017486124,7006811808
2-s2.0-0017486124,7102276896
2-s2.0-0017486124,16060985700
2-s2.0-0017533470,7005311882
2-s2.0-0017533470,16060985700
2-s2.0-0017533470,57203254320
2-s2.0-0017601956,7101883836
2-s2.0-0017601956,7102087724
2-s2.0-0017601956,34571078200
2-s2.0-0017651824,6602135457
2-s2.0-0017651824,7004330215
2-s2.0-0017651824,7006625323
2-s2.0-0017651824,7102276896
2-s2.0-0017680582,7101785826
2-s2.0-0017680582,7202993018
2-s2.0-0017700906,6507407156
2-s2.0-0017700906,7004660950
2-s2.0-0017700906,7004673294
2-s2.0-0017700906,7004987023
2-s2.0-0017700906,7006891240
2-s2.0-0017700906,7102584164
2-s2.0-0017700906,7202436291
2-s2.0-0017700906,36870723900
2-s2.0-0017800115,7004950562
2-s2.0-0017810793,7005311882
2-s2.0-0017810793,16060985700
2-s2.0-0017810793,57199283075
2-s2.0-0017810793,57203254320
2-s2.0-0017875972,7004950562
2-s2.0-0017875972,7005252582
2-s2.0-0017875972,7006415432
2-s2.0-0017875972,24584623600
2-s2.0-0017875972,57204252089
2-s2.0-0018102830,7202436291
2-s2.0-0018102830,7404498457
2-s2.0-0018119185,7004330215
2-s2.0-0018119185,7006668821
2-s2.0-0018163633,6602725357
2-s2.0-0018163633,7003964392
2-s2.0-0018163633,7005215430
2-s2.0-0018163633,7101883836
2-s2.0-0018163633,7102087724
2-s2.0-0018163633,7202356471
2-s2.0-0018163633,57225804457
2-s2.0-0018245486,7004107401
2-s2.0-0018245486,7006811808
2-s2.0-0018271895,7006668821
2-s2.0-0018271895,7006811808
2-s2.0-0018271895,7403254299
2-s2.0-0018271895,26435727800
2-s2.0-0018271895,34571078200
2-s2.0-0018364459,6601991074
2-s2.0-0018364459,7004950562
2-s2.0-0018373056,7005504774
2-s2.0-0018373056,7202436291
2-s2.0-0018373056,57193559507
2-s2.0-0018396614,7004330215
2-s2.0-0018396614,7006811808
2-s2.0-0018396614,7201594814
2-s2.0-0018396614,57206369532
2-s2.0-0018533819,7401947848
2-s2.0-0018533819,35918054900
2-s2.0-0018567245,6602331200
2-s2.0-0018567245,7005034685
2-s2.0-0018567245,7005165083
2-s2.0-0018567245,7006352388
2-s2.0-0018567245,55727574000
2-s2.0-0018570145,7003357122
2-s2.0-0018570145,7202491204
2-s2.0-0018570145,7401947848
2-s2.0-0018570145,35918054900
2-s2.0-0018570145,57199181579
2-s2.0-0018570145,57199278507
2-s2.0-0018577780,7004330215
2-s2.0-0018577780,7006811808
2-s2.0-0018577780,57206369532
2-s2.0-0018604948,7004330215
2-s2.0-0018604948,7006625323
2-s2.0-0018604948,7006811808
2-s2.0-0018604948,7101670885
2-s2.0-0018615004,7005012355
2-s2.0-0018615004,7005034685
2-s2.0-0018615004,35894857900
2-s2.0-0018640594,6602331200
2-s2.0-0018640594,7005034685
2-s2.0-0018640594,7005165083
2-s2.0-0018640594,7006352388
2-s2.0-0018640594,55727574000
2-s2.0-0018691603,6603787435
2-s2.0-0018691603,7004330215
2-s2.0-0018691603,7006811808
2-s2.0-0018691603,57195147762
2-s2.0-0018715702,7005939994
2-s2.0-0018715702,7101883836
2-s2.0-0018715702,7102087724
2-s2.0-0018715702,55411298100
2-s2.0-0018725940,7004055216
2-s2.0-0018725940,35918610400
2-s2.0-0018782046,6507582094
2-s2.0-0018782046,6701569259
2-s2.0-0018782046,7003357122
2-s2.0-0018782046,35610982900
2-s2.0-0018782046,35918054900
2-s2.0-0018782046,57197313228
2-s2.0-0018784833,6603222944
2-s2.0-0018784833,6701481612
2-s2.0-0018784833,7004950562
2-s2.0-0018784833,7101666583
2-s2.0-0018784833,57198758232
2-s2.0-0018788682,7006811808
2-s2.0-0018803154,6507582094
2-s2.0-0018803154,7003357122
2-s2.0-0018803154,7005916217
2-s2.0-0018803154,35610982900
2-s2.0-0018803154,35918054900
2-s2.0-0018805096,7006668821
2-s2.0-0018805096,7006811808
2-s2.0-0018805096,7403220997
2-s2.0-0018805096,35774675500
2-s2.0-0018837791,7004440335
2-s2.0-0018837791,7101913325
2-s2.0-0018837791,7202356471
2-s2.0-0018844747,6602273103
2-s2.0-0018844747,7005408607
2-s2.0-0018844747,7005854519
2-s2.0-0018844747,7101883836
2-s2.0-0018844747,7403519680
2-s2.0-0018844747,35944486200
2-s2.0-0018858663,6602617893
2-s2.0-0018858663,6701664284
2-s2.0-0018858663,7202356471
2-s2.0-0018874938,6603787435
2-s2.0-0018874938,7004330215
2-s2.0-0018874938,7006811808
2-s2.0-0018874938,57195147762
2-s2.0-0018907309,6508254446
2-s2.0-0018907309,7401947848
2-s2.0-0018907309,35918054900
2-s2.0-0018907309,57189147484
2-s2.0-0018916664,7005034685
2-s2.0-0018916664,7006352388
2-s2.0-0018916664,7202488935
2-s2.0-0018916664,7202577919
2-s2.0-0018916664,7801377225
2-s2.0-0018916664,55454358900
2-s2.0-0018916664,57209055543
2-s2.0-0018953557,6601991074
2-s2.0-0018953557,6603222944
2-s2.0-0018953557,7004950562
2-s2.0-0018953557,7101666583
2-s2.0-0018958215,7005034685
2-s2.0-0018958215,7006352388
2-s2.0-0018959310,6602331200
2-s2.0-0018959310,6603355114
2-s2.0-0018959310,7005034685
2-s2.0-0018959310,7006352388
2-s2.0-0018959310,7007041237
2-s2.0-0019131483,6603787435
2-s2.0-0019131483,7004330215
2-s2.0-0019131483,7006811808
2-s2.0-0019131483,57195147762
2-s2.0-0019168099,7005012355
2-s2.0-0019168099,7005034685
2-s2.0-0019168099,7006352388
2-s2.0-0019168099,35894857900
2-s2.0-0019175575,7006811808
2-s2.0-0019175575,7103404188
2-s2.0-0019206004,7005408607
2-s2.0-0019206004,7005854519
2-s2.0-0019206004,7101883836
2-s2.0-0019206004,7102704439
2-s2.0-0019206004,35944486200
2-s2.0-0019206004,55627553800
2-s2.0-0019206004,55833520500
2-s2.0-0019206004,57206467837
2-s2.0-0019230782,7004484250
2-s2.0-0019230782,7005265761
2-s2.0-0019230782,7006380073
2-s2.0-0019278572,6602331200
2-s2.0-0019278572,7005034685
2-s2.0-0019278572,7006352388
2-s2.0-0019294924,7006789796
2-s2.0-0019294924,7401947848
2-s2.0-0019294924,35918054900
2-s2.0-0019294924,56261468300
2-s2.0-0019328630,6507356668
2-s2.0-0019328630,7102548233
2-s2.0-0019328630,35918054900
2-s2.0-0019328630,57199699758
2-s2.0-0019328630,57216983716
2-s2.0-0019390370,6602617893
2-s2.0-0019390370,7202356471
2-s2.0-0019402095,7005939994
2-s2.0-0019402095,7101883836
2-s2.0-0019402095,7102087724
2-s2.0-0019402095,8519763500
2-s2.0-0019402095,57191355780
2-s2.0-0019444829,7005001642
2-s2.0-0019444829,7006380073
2-s2.0-0019444829,7202249371
2-s2.0-0019449676,7004330215
2-s2.0-0019449676,7006625323
2-s2.0-0019449676,7006811808
2-s2.0-0019449676,7201594814
2-s2.0-0019449676,16060985700
2-s2.0-0019449676,24530908500
2-s2.0-0019463066,7003761679
2-s2.0-0019463066,7005034685
2-s2.0-0019463066,7006352388
2-s2.0-0019466827,7801442127
2-s2.0-0019466827,35918054900
2-s2.0-0019466827,57199699758
2-s2.0-0019471890,7005311882
2-s2.0-0019471890,7006811808
2-s2.0-0019471890,57203254320
2-s2.0-0019501120,7004330215
2-s2.0-0019501120,7006625323
2-s2.0-0019501120,7006811808
2-s2.0-0019504891,7005311882
2-s2.0-0019504891,7005964688
2-s2.0-0019504891,7006811808
2-s2.0-0019504891,7801683157
2-s2.0-0019504891,57203254320
2-s2.0-0019511240,7005504774
2-s2.0-0019511240,7202404752
2-s2.0-0019511240,7202436291
2-s2.0-0019517792,7003679756
2-s2.0-0019517792,7005962407
2-s2.0-0019517792,7202436291
2-s2.0-0019638247,7005012355
2-s2.0-0019638247,7005034685
2-s2.0-0019638247,7006352388
2-s2.0-0019638247,35894857900
2-s2.0-0019656698,7005706766
2-s2.0-0019656698,7007031038
2-s2.0-0019696272,6602886652
2-s2.0-0019696272,7006179271
2-s2.0-0019696272,7202344320
2-s2.0-0019727562,7101785826
2-s2.0-0019729323,7005034685
2-s2.0-0019729323,7006352388
2-s2.0-0019729323,7202577919
2-s2.0-0019729323,7409450199
2-s2.0-0019729323,7801377225
2-s2.0-0019729323,55454358900
2-s2.0-0019729323,57209055543
2-s2.0-0019754558,6601991074
2-s2.0-0019754558,7004950562
2-s2.0-0019790945,6603890268
2-s2.0-0019790945,7003900475
2-s2.0-0019790945,7006184213
2-s2.0-0019790945,55668972200
2-s2.0-0019791578,6504421666
2-s2.0-0019791578,7005034685
2-s2.0-0019791578,7006352388
2-s2.0-0019813925,7005311882
2-s2.0-0019813925,16060985700
2-s2.0-0019813925,57203254320
2-s2.0-0019827192,6601991074
2-s2.0-0019827192,7004950562
2-s2.0-0019834299,6601991074
2-s2.0-0019834299,7004950562
2-s2.0-0019834299,55945182600
2-s2.0-0019839049,7006179271
2-s2.0-0019839049,57177342400
2-s2.0-0019854751,7004330215
2-s2.0-0019854751,7006625323
2-s2.0-0019854751,7006811808
2-s2.0-0019854751,24525658800
2-s2.0-0019854751,57206369532
2-s2.0-0019856954,7006374400
2-s2.0-0019856954,7006380073
2-s2.0-0019856954,7006986189
